Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Fairy Duster,2,Calliandra eriophylla,"sun, partial sun",0,Fairy Duster is so named due to the resembance of the flower structure to a fine textured pink to nearly red feather duster or miniature powder puff. This semi-evergreen ronded densely branched small shrub is popular in arid landscapes due to its excellent heat and drought tolerances. The small gray-green bipinnately compound leaves give shrubs a soft airy appearance. This species is rarely used as a summer annual or high light conservatory plant in cooler regions.,"Shrub, small shrub, tropical","Pink to nearly red; 1 inch to 2 inch diameter tufted tassel-like globose heads; flowering peaks in spring, sporadically till frost.","Spring, summer, fall",Small 1 inch to 3 inch long dehiscent pods; not ornamental.,13,14,5,Marginally hardy in protected portions of USDA zone 8b; avoid siting on poorly drained soils.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Schefflera,2,Schefflera spp.,"sun, partial sun, shade",0,"Tropical trees and shrubs with interesting dark glossy green to variegated palmate leaves. Some species, such as Schefflera actinophylla are used as coarse textured shade trees in the tropics, while Schefflera arboricola and Schefflera elegantissima are finer textured and often grown as shrubs. All of the above species are popular as interiorscape plants as they tolerate very low light levels and will adapt to indoor conditions. They can also be used as effective annual textural accents, either in the ground or in containers. The large flower and fruit structures, particularly those on S. actinophylla are an asset in tropical landscapes.","Shrub, medium shrub, large shrub, tree, small tree, medium tree, tropical, interiorscape",Monoecious; pink to red; inflorescences with an elongated central spike surrounded by spoke like lateral spikes.,"Spring, summer, fall","Red, purple-red, to black berry-like drupes.",216,48,None,"Schefflera species have become invasive in some tropical climates; some plants may function as dieback shrubs in very protected portions of USDA zone 9b; mealy bugs, scale insectes, spider mites, aphids and sooty mold are interiorscape and greenhouse pests, but are less problematic in the landscape.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Banyan Tree,2,Ficus benghalensis,sun,0,"Banyan Trees are famous throughout the tropical world and along with Ficus regilosa (Bo Tree or Sacred Fig) are considered to be sacred trees in some eastern religions. The Banyan Tree is famous for its spreading canopy of branches supported by aerial roots that grow down from horizonatal branches. These canopies can sometimes exceed an acre in size. Mature specimens can be seen at the Edison estate in Fort Myers, FL, and on the island of Maui in Hawaii. The Banyan Tree is the horizontal equivalent of the vertical redwoods.","Large tree, tropical, interiorscape",Not ornamental,"Spring, summer, fall, winter",Not ornamental,420,0,None,"Strickly tropical tree that might be found in conservatories in Texas, but is of international significance.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Variegated Tapioca,2,Manihot esculenta,"sun, partial sun",0,"Variegated Tapioca is an 8 ft to 10 ft (15 ft) tall tropical shrub to small tree with upright sparsely branched stems. The palmate leaves are prominently variegated white, creamy white to yellow-green. New growth is pink to red. Plants make excellent summer foliage accents, both for the variegated colors and as a textural component.","Annual, shrub, small shrub, medium shrub, large shrub, tropical",Apetalous; monoecious; greenish white.,"Spring, summer",Six-angled ovoid capsule; seldom produced in cultivation.,108,84,None,"Plants have good salt tolerance, but are chilling intolerant. Shrubs are root hardy in protected sites in USDA zone 9.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Chinese Pistachio,2,Pistacia chinensis,"sun, partial sun",0,"Chinese Pistachio is a medium size deciduous shade tree with a stout trunk and rounded spreading crown when open-grown. Crowns are narrower and more upright in competition. The dark green foliage is seldom predated and turns an excellent yellow, orange, red, to maroon color in the fall. It is one of our most reliable fall color trees for much of Texas. Trees are tolerant of heat, drought, and salt exposure.","Tree, medium tree","Dioecious, females green, males purple-green, not showy.",Spring,"Loose 8 inch to 12 inch panicles of green, red, to purple-black drupes, fruits may be showy.",420,480,None,Remarkably disease and pest free; tends to seed out and become adventive; male selections are needed.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Muhly Grasses,2,Muhlenbergia spp.,"sun, partial sun",0,"Muhly Grasses are a group of ornamental grasses which can serve as good native substitutes for exotic grasses, such as Miscanthus spp. Four species, M. lindheimeri (Lindheimer Muhly), M. capillaris (Gulf Muhly), M. dumosa (Bamboo Muhly), and M. rigens (Deergrass), are the principal species in the trade. They offer excellent drought and heat tolerances, interesting textures, and in some cases attractive flowers. Muhlenbergia capillaris has fine textured foliage and purple flowers. Muhlenbergia dumosa offers a growth form reminiscent of a small bamboo, while M. rigens and M. lindheimeri offer more rigid foliage and flower panicles. Most species require good drainage and perform better in regions with moderate to low rainfall. Cold tolerance varies from USDA zones 6 to 8 and most species can survive the heat of zones 9 or 10. Most are herbaceous perennials that die to the ground in winter, but some species may remain evergreen or semi-evergreen in warmer climates.","Perennial, grasses","White to purple, panicles in summer to fall.","Summer, fall","Panicles of small grain-like seeds, sometimes effective into winter.",42,54,None,"Not bothered by much diseases or insects, but may be prone to root/crown rots in poorly drained sites and constant high relative humidity.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Variegated Shell Ginger,2,Alpinia zerumbet 'Variegata',"sun, partial sun, shade",0,"Variegated Shell Ginger is a tropical/subtropical herb that is a relative of the bananas (Musaceae)and cannas (Cannaceae) which forms a coarse-textured evergreen shrub. Plants look much like a strongly variegated canna. The large leaves are variegated with yellow-green to yellow wedges or stripes. Flowers the pearly white to pink shell-like flowers are formed only where plants do not dieback in winter. This species can provide a strong tropical accent and color to shaded locations. Used as a woody shrub in zones 9b to 11, herbaceous perennial in 8b to 9a, and as a summer annual in colder regions.","warm season annual, perennial, shrub, small shrub, medium shrub, tropical",12 inch to 18 inch drooping panicles of pearly white to pink shell-like flowers.,"Spring, summer",Three-celled capsule seldom produced in cultivation.,48,21,10,Periodic fertilization and irrigation encourages foliar growth which is the showy portion of this cultivar.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Queen Palm,2,"Syagrus romanzoffiana (Cocos plumosa, Arecastrum romanzoffianum)","sun, partial sun",0,"Aside from the genera Butia and Phoenix, this is one of the most cold tolerant of the feather palms. It has large plume-like fronds and is an impressive palm for lining subtropical thoroughfares.","Tree, medium tree, tropical",Panicles of small white flowers from semi-woody spathes.,Summer,Yellow-orange miniature coconut-like fruit in panicles.,330,150,None,Prone to iron or manganese deficienty on high pH soils; responsive to supplemental irrigation; often planted in USDA zone 8 where it is not reliably hardy.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Mexican Feathergrass,2,Stipa tenuissima (Nassella tenuissima),"sun, partial sun",0,"Mexican Feathergrass is a small clump-forming extremely fine textured grass with a tuft of soft wiry windswept leaves. Leaves are a bright to soft green in summer, turning tan in winter, and waving softly in the slightest breeze. This species serves as an outstanding fine textured accent for arid climates.","Perennial, groundcover, grasses",Loose silvery plume-like inflorescences.,"Summer, fall",Foxtail-like inflorescences; mildly showy.,18,13,7,Intolerant of poorly drained soils and high humidity environments. This species tends to be short-lived in humid environments.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Australian Pine,2,Casuarina equisetifolia,"sun, partial sun",0,"Australian Pine is not really a pine, but rather the horse-tail like small drooping stems lend a long-needled pine sort of look to the trees. Trees are nearly pantropical in warm climates, although originally native to Australia an portions of Southeast Asia. Plant are strongly responsive to environment, ranging from twisted shrubs in harsh windy sites to large evergreen trees in more favorable locations. Trees are subtropical, growing as trees only in the warmest portions of our region, as dieback shrubs or small trees in USDA zone 9. Trees are very salt tolerant and are common components of coastal landscapes around the warm regions of the world. Trees can become weedy in favorable sites. Fine twigs are the photosynthetic organs, leaves tiny and scale-like. Trees can be very handsome with a wind-swept wispy appearance.","Shrub, medium shrub, large shrub, tree, small tree, medium tree, large tree, tropical",Monoecious; males in staminate spikes; females in dense rose-red globose heads.,Summer,Small short cylindrical spiny cone-like structure; maintenance liability.,660,110,7,Use with caution as this species can become invasive in tropical climates; windthrow can be a problem in huricanes; tolerates periodic flooding once established; highly salt tolerant; grows well on poor fertility sites.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
